,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
128,175,1209.9611019021268,1.428468757000001,"[5, 10, 19, 18, 8, 3, 0, 6, 9, 7, 4, 11, 13, 17, 12, 2, 1, 15, 16, 14]",50,0.1,2000
129,200,1089.5677830155498,1.6333508950000013,"[5, 10, 19, 3, 18, 8, 0, 6, 9, 7, 1, 4, 11, 17, 13, 12, 2, 15, 16, 14]",50,0.1,2000
130,300,919.1540586422888,2.371011513000001,"[5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 7, 1, 4, 15, 11, 17, 13, 12, 2, 16]",50,0.1,2000
131,400,919.1540586422888,2.983396730000001,"[5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 7, 1, 4, 15, 11, 17, 13, 12, 2, 16]",50,0.1,2000
132,500,919.1540586422888,2.983396730000001,"[5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 7, 1, 4, 15, 11, 17, 13, 12, 2, 16]",50,0.1,2000
133,600,919.1540586422888,2.983396730000001,"[5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 7, 1, 4, 15, 11, 17, 13, 12, 2, 16]",50,0.1,2000
134,700,919.1540586422888,2.983396730000001,"[5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 7, 1, 4, 15, 11, 17, 13, 12, 2, 16]",50,0.1,2000
135,800,919.1540586422888,2.983396730000001,"[5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 7, 1, 4, 15, 11, 17, 13, 12, 2, 16]",50,0.1,2000
136,900,919.1540586422888,2.983396730000001,"[5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 7, 1, 4, 15, 11, 17, 13, 12, 2, 16]",50,0.1,2000
137,1000,919.1540586422888,2.983396730000001,"[5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 7, 1, 4, 15, 11, 17, 13, 12, 2, 16]",50,0.1,2000
138,1500,919.1540586422888,2.983396730000001,"[5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 7, 1, 4, 15, 11, 17, 13, 12, 2, 16]",50,0.1,2000
139,2000,919.1540586422888,2.983396730000001,"[5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 7, 1, 4, 15, 11, 17, 13, 12, 2, 16]",50,0.1,2000
140,0,2633.137458865322,0.003389368000000559,"[18, 1, 19, 8, 10, 17, 6, 13, 4, 2, 5, 14, 9, 7, 16, 11, 3, 0, 15, 12]",50,0.2,2000
141,10,1704.8974537244871,0.09802535400000068,"[18, 3, 19, 8, 0, 13, 2, 16, 5, 9, 6, 15, 7, 17, 4, 1, 11, 12, 10, 14]",50,0.2,2000
142,25,1532.2979396707908,0.22886118799999977,"[16, 8, 19, 10, 5, 18, 3, 0, 9, 6, 15, 11, 12, 13, 2, 17, 7, 4, 1, 14]",50,0.2,2000
143,50,1215.0340330668055,0.43030376499999967,"[5, 10, 19, 8, 18, 3, 0, 6, 9, 15, 4, 17, 12, 13, 16, 2, 11, 7, 1, 14]",50,0.2,2000
144,75,1154.253070347092,0.6450601070000008,"[5, 14, 10, 19, 8, 18, 3, 0, 6, 9, 11, 17, 12, 13, 16, 2, 7, 1, 4, 15]",50,0.2,2000
145,100,1137.5455039197568,0.8424041619999993,"[5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 11, 17, 13, 12, 16, 2, 7, 1, 4, 15]",50,0.2,2000
146,125,1073.3610862389846,1.0378138650000004,"[5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 7, 11, 17, 13, 12, 16, 2, 1, 4, 15]",50,0.2,2000
147,150,1065.503308476406,1.2448915619999994,"[5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 7, 1, 11, 17, 13, 12, 2, 16, 4, 15]",50,0.2,2000
148,175,1056.856959145592,1.4494877420000005,"[5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 7, 1, 11, 17, 13, 12, 2, 4, 15, 16]",50,0.2,2000
