,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
63,300,0.0,0.17405601400000004,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",1000,3000,0
64,400,0.0,0.17405601400000004,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",1000,3000,0
65,500,0.0,0.17405601400000004,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",1000,3000,0
66,600,0.0,0.17405601400000004,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",1000,3000,0
67,700,0.0,0.17405601400000004,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",1000,3000,0
68,800,0.0,0.17405601400000004,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",1000,3000,0
69,900,0.0,0.17405601400000004,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",1000,3000,0
70,1000,0.0,0.17405601400000004,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",1000,3000,0
71,1500,0.0,0.17405601400000004,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",1000,3000,0
72,2000,0.0,0.17405601400000004,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",1000,3000,0
73,2500,0.0,0.17405601400000004,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",1000,3000,0
74,3000,0.0,0.17405601400000004,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",1000,3000,0
